Snap #	Nsnaps (direction corrected)	Time	Snap direction	Snap bond c.x	Snap bond c.y
345	343	840.765	-1	294.6475	1540.94
346	344	841.026	-1	1277.61	897.24
347	345	841.404	-1	1474.1	543.5215
348	346	845.331	-1	1242.22	815.872
349	347	846.246	-1	496.9765	299.241
350	348	846.984	-1	1151.24	754.9345
351	347	850.212	1	1461.68	557.632
352	348	853.989	-1	354.2605	1358.875
353	349	857.805	-1	747.961	48.73585
354	350	860.646	-1	370.9885	1370.34
355	351	860.799	-1	1147.205	385.7585
356	352	862.884	-1	662.1595	942.8045
357	353	863.091	-1	363.5115	1361.47
358	354	863.811	-1	1119.475	358.255
359	355	866.13	-1	355.93	1353.455
360	356	866.796	-1	1120.87	336.606
361	357	869.079	-1	595.1615	1487.44
362	358	870.384	-1	694.218	702.126
363	359	870.855	-1	94.24975	1837.935
364	360	873.402	-1	330.8165	1437.68
365	361	873.432	-1	881.93	1826.235
366	362	873.942	-1	879.506	1831.26
367	363	875.325	-1	224.038	1809.305
368	364	875.496	-1	403.767	1376.34
369	365	876.687	-1	1075.11	397.5375
370	366	881.091	-1	849.2715	1800.33
371	367	883.56	-1	565.2615	266.456
372	368	888.891	-1	1118.955	346.1845
373	369	889.908	-1	843.8265	1837.77
374	370	892.896	-1	861.0225	1834.375
375	371	893.577	-1	188.1105	336.2385
376	372	894.264	-1	871.187	1831.63
377	373	909.654	-1	330.7895	549.3165
378	374	911.562	-1	464.616	317.451
379	375	920.043	-1	675.5085	898.192
380	376	920.442	-1	685.6425	881.885
381	377	923.418	-1	891.034	1631.78
382	378	925.035	-1	671.115	872.1355
383	379	928.212	-1	932.9455	675.9265
384	380	931.578	-1	1354.78	1422.695
385	381	931.707	-1	560.4605	1282.025
386	382	934.8	-1	87.3513	1354.94
387	383	940.398	-1	787.8025	731.4505
388	384	942.888	-1	609.738	1168.295
389	385	949.665	-1	818.5865	382.055
390	386	952.662	-1	1762.06	301.117
391	387	953.943	-1	570.445	1191.32
392	388	954.978	-1	864.122	1213.14
393	389	955.089	-1	1410.19	1687.15
394	390	955.395	-1	552.1575	1171.835
395	391	955.914	-1	807.0385	410.6175
396	392	956.472	-1	781.9085	341.954
397	393	957.837	-1	812.14	401.082
398	394	960.042	-1	843.8355	1217.62
399	395	966.714	-1	860.2265	412.717
400	396	971.379	-1	222.03	1240.545
401	397	977.523	-1	710.4835	814.0585
402	398	979.38	-1	72.521	1442.44
403	399	984.288	-1	352.0405	1352.46
404	400	990.39	-1	709.6755	865.5825
405	401	993.069	-1	341.686	1361.16
406	402	1004.52	-1	678.208	1156.505
407	403	1009.569	-1	273.3505	1210.69
408	404	1010.142	-1	744.0085	93.2847
409	405	1010.337	-1	665.6725	1085.67
410	406	1032.285	-1	1786.55	815.2665
411	407	1039.257	-1	942.334	976.1635
412	408	1044.771	-1	185.4755	1624
413	409	1045.53	-1	194.2845	1607.585
414	410	1047.015	-1	21.84465	1624.07
415	411	1047.618	-1	1704.735	1128.55
416	412	1049.763	-1	188.304	1620.455
417	413	1050.588	-1	1704.465	1107.885
418	414	1050.801	-1	1191.03	1097.875
419	415	1052.607	-1	252.0415	1006.155
420	416	1053.015	-1	1427.58	743.722
421	417	1053.906	-1	356.6665	426.5565
422	418	1055.115	-1	1725.17	1111.17
423	419	1057.983	-1	1717.365	1115.855
424	420	1060.755	-1	250.6145	1551.645
425	421	1062.63	-1	1755.495	1142.27
426	422	1062.912	-1	260.6785	1543.595
427	423	1064.265	-1	243.2895	1529.255
428	424	1067.841	-1	1500.775	769.1175
429	425	1069.839	-1	986.3315	587.1875
430	426	1069.974	-1	982.7335	1619.98
431	427	1081.581	-1	1006.33	1105.555
432	428	1083.114	-1	482.113	1243.845
433	429	1092.807	-1	702.013	255.7675
434	430	1093.173	-1	15.2187	1776.53
435	431	1098.51	-1	891.7335	1315.065
436	432	1106.76	-1	581.597	1194.24
437	433	1109.88	-1	590.36	1191.08
438	434	1116.876	-1	245.0425	1070.285
439	435	1120.347	-1	324.6115	5.27869
440	436	1121.361	-1	985.0215	624.199
441	437	1123.299	-1	912.3365	394.201
442	438	1126.491	-1	465.5575	289.2825
443	439	1127.322	-1	655.5985	29.8081
444	440	1127.964	-1	1201.6	377.4745
445	441	1130.295	-1	1164.995	390.078
446	442	1133.826	-1	282.3725	1536.03
447	443	1133.952	-1	283.3265	1539.855
448	444	1135.128	-1	785.5465	350.217
449	445	1137.255	-1	297.8175	1549.04
450	446	1146.822	-1	622.4725	1097.145
451	447	1152.372	-1	1449.325	1121.485
452	448	1159.806	-1	1429.81	1126.885
453	449	1166.97	-1	483.7045	323.502
454	450	1173.732	-1	1646.24	520.8045
455	451	1173.744	-1	499.0015	357.649
456	452	1175.031	-1	500.323	346.848
457	453	1184.499	-1	1673.945	808.1025
458	454	1185.783	-1	484.532	424.058
459	455	1188.087	-1	1685.605	782.549
460	456	1188.99	-1	1148.965	1682.425
461	457	1189.038	-1	421.662	453.0665
462	458	1190.505	-1	1668.21	854.8185
463	459	1191.903	-1	1700.215	771.4995
464	460	1193.766	-1	1495.97	1113.235
465	461	1197.825	-1	637.2395	281.9625
466	462	1198.821	-1	420.158	495.3295
467	463	1199.424	-1	367.3615	1704.99
468	464	1199.925	-1	291.1975	448.267
469	465	1199.958	-1	320.9945	471.64
470	466	1202.037	-1	417.054	484.6475
471	467	1209.822	-1	407.9985	440.084
472	468	1215.708	-1	486.0555	461.586
473	469	1226.559	-1	553.6385	1260.215
474	470	1230.021	-1	550.8755	1279.68
475	471	1230.351	-1	548.543	1267.725
476	472	1230.828	-1	1010.54	941.1305
477	473	1238.928	-1	801.2455	862.3035
478	474	1243.806	-1	790.425	869.193
479	475	1245.339	-1	817.774	864.3095
480	476	1251.273	-1	1160.955	1828.015
481	477	1253.955	-1	1489.275	1509.93
482	478	1266.573	-1	1499.305	1483.435
483	479	1271.187	-1	196.62	1324.82
484	480	1272.69	-1	1709.655	445.104
485	481	1274.37	-1	1141.315	1671.43
486	482	1275.429	-1	184.059	1323.225
487	483	1276.41	-1	174.308	1317.475
488	484	1277.067	-1	965.505	973.503
489	485	1278.417	-1	233.256	1292.18
490	486	1281.036	-1	188.113	1360.85
491	487	1281.849	-1	165.1875	226.7045
492	488	1284.261	-1	200.749	1364
493	489	1284.372	-1	1710.06	439.889
494	490	1285.323	-1	202.4305	1376.3
495	491	1285.674	-1	172.7875	1345.865
496	492	1285.77	-1	913.3455	960.875
497	491	1286.19	1	1703.06	445.5915
498	492	1289.373	-1	813.156	1512.415
499	493	1298.421	-1	1176.265	1598.225
500	494	1304.916	-1	1198.415	1625.265
501	495	1309.062	-1	130.817	1002.005
502	496	1314.873	-1	1000.805	230.076
503	497	1339.167	-1	1517.445	947.1
504	498	1344.09	-1	353.121	1675.18
505	499	1349.73	-1	518.108	816.0335
506	500	1353.834	-1	774.7565	191.928
507	501	1358.718	-1	1494.065	421.28
508	502	1362.9	-1	1272.765	85.00555
509	503	1363.617	-1	1286.75	83.06245
510	504	1365.177	-1	540.647	804.4485
511	505	1366.182	-1	404.4255	857.3165
512	506	1368.357	-1	985.5755	23.2228
513	507	1373.928	-1	1734.61	1172.38
514	508	1376.877	-1	1742.48	1170.225
515	509	1379.103	-1	334.602	312.438
516	510	1379.427	-1	50.54605	144.4145
517	511	1380.327	-1	1689.8	1173.3
518	510	1380.402	1	1737.92	1167.085
519	511	1381.866	-1	342.186	324.181
520	512	1382.367	-1	957.5455	19.28775
521	513	1382.886	-1	1707.53	1162.495
522	514	1383.825	-1	318.6085	328.387
523	515	1385.055	-1	1714.53	1149.24
524	516	1387.887	-1	437.223	627.918
525	517	1389.447	-1	943.932	7.35037
526	518	1409.016	-1	817.051	1055.34
527	519	1411.761	-1	803.522	1049.165
528	520	1414.092	-1	1084.79	1578.36
529	521	1415.961	-1	182.5175	160.265
530	522	1418.052	-1	1473.67	1655.645
531	523	1421.025	-1	943.374	740.434
532	524	1424.106	-1	490.814	472.9945
533	525	1426.842	-1	1452.63	1658.63
534	526	1428.165	-1	1450.2	1646.02
535	527	1429.08	-1	1154.4	792.9215
536	528	1432.359	-1	1149.46	813.242
537	529	1442.682	-1	1000.974	314.701
538	530	1443.36	-1	110.7495	1572.995
539	531	1448.601	-1	999.4575	325.341
540	532	1450.902	-1	203.8285	179.334
541	533	1462.053	-1	987.46	308.7385
542	534	1463.247	-1	351.116	804.0205
543	535	1470.573	-1	342.873	775.3885
544	536	1471.893	-1	1024.345	219.067
545	537	1475.424	-1	1133.445	113.8515
546	538	1475.424	-1	1578.805	1102.4
547	539	1476.711	-1	364.349	869.0615
548	540	1478.559	-1	72.34465	1306.63
549	541	1481.859	-1	1574.075	1145.7
550	542	1482.453	-1	66.2379	1281.91
551	543	1483.461	-1	1568.57	1107.38
552	544	1491.258	-1	73.0304	367.7025
553	545	1492.581	-1	1017.015	928.813
554	546	1493.736	-1	899.531	1054.8
555	547	1495.395	-1	92.51465	1362.905
556	548	1497.987	-1	906.0875	1008.135
557	549	1501.302	-1	745.2655	784.9435
558	550	1502.715	-1	86.1757	1700.07
559	551	1508.517	-1	677.4205	651.3095
560	552	1509.99	-1	125.3075	1647.58
561	553	1514.988	-1	1518.555	76.00935
562	554	1518.747	-1	111.922	1589.465
563	555	1524.429	-1	59.03825	1565.09
564	556	1529.433	-1	94.2712	1644.98
565	557	1529.946	-1	965.678	612.0405
566	558	1534.656	-1	940.661	633.034
567	559	1536.171	-1	103.521	1640.17
568	560	1541.922	-1	981.328	269.9135
569	561	1544.523	-1	697.6125	1174.35
570	562	1551.585	-1	1654.615	256.126
571	563	1555.65	-1	86.92275	583.46
572	564	1556.562	-1	812.8185	442.1845
573	565	1558.2	-1	91.7176	572.08
574	566	1559.025	-1	80.1321	572.219
575	567	1576.239	-1	52.23495	364.6295
576	568	1599.849	-1	1221.035	417.1045
577	569	1611.075	-1	1269.17	431.459
578	570	1611.399	-1	506.1465	525.802
579	571	1624.881	-1	1784.97	1218.215
580	572	1625.028	-1	1173.46	473.9935
581	573	1626.483	-1	1801.45	1207.795
582	574	1627.14	-1	588.33	544.2065
583	575	1628.328	-1	1173.635	470.396
584	576	1628.49	-1	1807.73	1198.045
585	577	1632.027	-1	958.507	660.6445
586	578	1640.931	-1	1078.32	1124.28
587	579	1641.261	-1	441.077	185.4285
588	580	1646.502	-1	978.743	683.9975
589	581	1649.958	-1	1304.23	1130.925
590	582	1651.665	-1	19.4652	334.9015
591	583	1656.522	-1	12.07773	309.233
592	584	1656.96	-1	1193.495	1087.09
593	585	1660.146	-1	64.10545	360.173
594	586	1660.689	-1	1770.505	1183.265
595	587	1661.571	-1	54.91295	367.9075
596	588	1663.149	-1	1047.14	679.5935
597	589	1664.1	-1	1789.245	1185.36
598	590	1666.215	-1	1762.11	1192.88
599	591	1672.503	-1	162.202	404.2145
600	592	1681.338	-1	1624.78	61.0109
601	593	1684.029	-1	191.262	1667.195
602	594	1686	-1	183.2235	1676.64
603	595	1690.89	-1	1153.24	824.2975
604	596	1693.728	-1	252.691	606.807
605	597	1693.8	-1	600.447	265.525
606	598	1696.545	-1	832.2455	1402.94
607	599	1698.003	-1	1139.71	812.437
608	600	1698.912	-1	822.611	369.1965
609	601	1700.154	-1	1136.12	803.4545
610	602	1701.81	-1	814.8915	390.984
611	603	1707.036	-1	1215.32	1276.91
612	604	1708.032	-1	1445.665	1347.73
613	605	1709.67	-1	1109.2	754.5835
614	606	1711.023	-1	1112.705	756.408
615	607	1711.458	-1	1204.785	1681.63
616	608	1712.241	-1	1116.455	758.876
617	609	1713.15	-1	1126.425	755.0725
618	610	1715.652	-1	1135.6	750.2505
619	611	1715.658	-1	262.814	1459.22
620	612	1716.228	-1	232.0675	468.64
621	613	1718.907	-1	1151.88	814.949
622	614	1725.525	-1	1075.5	715.5885
623	615	1727.85	-1	1015.34	362.716
624	616	1729.968	-1	1087.59	666.534
625	617	1736.889	-1	136.1195	1798.435
626	618	1737.318	-1	135.568	1794.075
627	619	1742.523	-1	135.5155	1804.715
628	620	1742.898	-1	115.6685	1814.78
629	621	1749.45	-1	1123.85	1766.335
630	622	1764.252	-1	1072.96	1770.165
631	623	1804.35	-1	1578.485	977.754
632	624	1805.571	-1	1105.625	238.2885
633	625	1809.237	-1	1582.275	964.8475
634	626	1809.264	-1	1551.91	966.4565
635	627	1812.447	-1	1560.585	972.59
636	628	1815.432	-1	1569.71	973.698
637	629	1815.972	-1	1603.01	973.714
638	630	1818.897	-1	1074.995	156.7435
639	631	1819.245	-1	1601.965	983.6545
640	632	1819.332	-1	1603.8	951.4525
641	633	1820.442	-1	1559.16	938.602
642	634	1822.152	-1	1608.515	1001.96
643	635	1822.215	-1	1563.415	929.5535
644	636	1823.094	-1	1082.62	150.585
645	637	1824.111	-1	98.20855	1745.47
646	638	1825.467	-1	1615.305	1012.835
647	639	1827.837	-1	1082.42	139.332
648	640	1830.696	-1	1083.77	125.1835
649	641	1831.212	-1	1087.495	129.3815
650	640	1831.611	1	1547.965	902.1155
651	641	1833.9	-1	1413.67	945.4435
652	642	1836.327	-1	1640.235	899.869
653	643	1838.526	-1	1444.38	936.6325
654	644	1841.796	-1	354.845	1319.93
655	645	1845.627	-1	1433.37	940.8695
656	646	1847.265	-1	487.856	389.5725
657	647	1853.346	-1	1400.755	976.065
